-40,2,0.999,-23,-22,5
-40,0.999,-2.99,-23,-18.9,5
-40,-7,-7.5,-23,-22,5
-40,-1,-1.5,-15.8,-14.8,5
-40,0.999,0,-24,-23,5
-40,8.164,8.164,-40,-40,5
-40,0,-2.99,-23,-19,5
-40,4,0.999,-26,-22,5
-40,0,-2.99,-22.9,-16.9,5
-40,-7.99,-10,-24.9,-23,5
-40,-5,-7,-26,-24.9,5
-40,0,-1,-16.8,-15.8,5
-40,3.499,0.499,-17.4,-14.4,5
-40,0.999,0.499,-14.9,-14.4,5
-40,0.499,0,-14.4,-13.4,5
-40,0.9,-3,-23,-19,5
-36.9,0,-2.99,-23,-19,5
-35.2,4.9,-3,-24,-23,5
-35.2,0.9,-3,-23,-19,5
-33,0.9,-3,-23,-19,5
-33,0.7,-1,-24,-20,5
-33,1.999,-1,-18.8,-15.8,5
-32.2,0.7,-1,-23.9,-20,5
-31.5,0.9,-3,-23,-19,5
-31,0.9,-3,-23,-19,5
-30.9,0.7,-1,-24,-20,5
-30.9,0.7,-1,-23.9,-20,5
-30.4,0.7,-1,-23.9,-20,5
-30,0.9,-3,-23,-19,5
-28.8,0,-2.99,-23,-19,5
-25.5,-2,-3,-30,-28.8,0
-25.2,1.999,-1,-18.8,-15.8,5
-24.4,-1.99,-2.99,-30,-28.8,0
-23.5,-4,-5.99,-30,-27.9,0
-23.3,-1.99,-2.99,-30,-28.8,0
-23,-5,-7,-26,-24.9,3
-22.1,-8,-10,-24.9,-23,3
-20.2,3.9,-6.7,-24.5,-24.3,0
-20.1,-1.99,-2.99,-30,-28.8,0
-19.9,-4,-5.99,-30,-27.9,0
-19.8,4.9,-3,-24,-23,0
-19.7,-7,-7.5,-23,-22,1
-19.7,0.999,0,-24,-23,0
-19.5,0.999,0,-24,-23,0
-19.5,4.9,-3,-24,-23,0
-19.5,-4,-6,-27,-24.9,0
-19.3,0.699,-1,-24,-20,1
-19.1,4.9,-3,-24,-23,0
-19,-4,-5.99,-26.9,-24.9,0
-18.9,-7.99,-10,-24.9,-23,0
-18.9,-3,-6,-23.1,-20,1
-18.7,0.7,-1,-23.9,-20,1
-18.7,-5,-7,-26,-24.9,0
-18.2,0,-2.99,-22.9,-16.9,1
-18.2,4.9,-3,-24,-23,0
-18,4.9,-3,-24,-23,0
-17.8,-1.99,-2.99,-30,-28.8,0
-17.7,2,0.999,-23,-22,0
-17.7,-8,-10,-24.9,-23,0
-17.7,0.699,-1,-24,-20,1
-17.5,-7,-7.5,-23,-22,0
-17.3,4.9,-3,-24,-23,0
-17.3,0.999,0,-24,-23,0
-17.3,2,0.999,-23,-22,0
-17.3,-7,-7.5,-23,-22,0
-17.3,-5,-7,-26,-24.9,0
-17.2,0.9,-3,-23,-19,1
-17,0.035,0.035,-40,-40,0
-17,4.9,-3,-24,-23,0
-17,0.9,-3,-23,-19,1
-16.9,-7,-7.5,-23,-22,0
-16.9,4.9,-3,-24,-23,0
-16.7,-1.99,-2.99,-30,-28.8,0
-16.7,4.9,-3,-24,-23,0
-16.7,0.9,-3,-23,-19,1
-16.6,0.999,-2.99,-23,-18.9,1
-16.5,2,0.999,-23,-22,0
-16.5,-7,-7.5,-23,-22,0
-16.5,4.9,-3,-24,-23,0
-16.4,0.999,-2.99,-23,-18.9,1
-16.4,3.9,-6.7,-24.5,-24.3,0
-16.3,-3,-6,-26.6,-26.6,0
-16.3,-7,-7.5,-23,-22,0
-16.3,0.699,-1,-23.9,-20,0
-16.3,4.9,-3,-24,-23,0
-15.9,-1.99,-2.99,-23,-23,0
-15.7,0.9,-3,-23,-19,0
-15.7,-7,-7.5,-23,-22,0
-15.7,2,-1,-19.7,-15.8,1
-15.7,0,-1,-23.9,-23,0
-15.6,-4,-5.99,-26.9,-24.9,0
-15.6,0.999,0,-24,-23,0
-15.5,0,-2.99,-22.9,-16.9,1
-15.4,4.9,-3,-24,-23,0
-15.4,0.699,-1,-24,-20,0
-15.2,0.9,-3,-23,-19,0
-15.1,4.9,-3,-24,-23,0
-15.1,0.699,-1,-23.9,-20,0
-15.1,3.9,-6.7,-24.5,-24.3,0
-15.1,0.9,-3,-23,-19,0
-15.1,-7,-7.5,-23,-22,0
-15,4.9,-3,-24,-23,0
-14.9,0.999,0,-24,-23,0
-14.8,0.9,-3,-23,-19,0
-14.8,2,0.999,-23,-22,0
-14.8,-7,-7.5,-23,-22,0
-14.8,3.9,-6.7,-24.5,-24.3,0
-14.7,-8,-10,-24.9,-23,0
-14.7,4.9,-3,-24,-23,0
-14.6,4.9,-3,-24,-23,0
-14.5,1,0.5,-18.8,-16.8,1
-14.5,0.999,0,-24,-23,0
-14.5,0.9,-3,-23,-19,0
-14.4,-7,-7.5,-23,-22,0
-14.3,4.9,-3,-24,-23,0
-14.3,-7,-7.5,-23,-22,0
-14.3,0.7,-1,-23.9,-20,0
-14.2,0.9,-3,-23,-19,0
-14.1,0.035,0.035,-40,-40,0
